GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FinSecureProject,com.ds.app.exception,GlobalExceptionHandler,42,3,0,0,6,1,3,1,3,1
FinSecureProject,com.ds.app.exception,BadRequestException,4,0,0,0,2,0,1,0,1,0
FinSecureProject,com.ds.app.exception,ErrorResponse,22,0,0,0,8,0,4,0,4,0
FinSecureProject,com.ds.app.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
FinSecureProject,com.ds.app.service,MyUserDetailService,19,3,0,0,2,1,2,1,2,1
FinSecureProject,com.ds.app.service,AppUserServiceImpl,15,3,0,0,3,1,1,1,1,1
FinSecureProject,com.ds.app.entity,AssetEscalation,46,24,0,0,20,10,12,7,12,7
FinSecureProject,com.ds.app.entity,AssetIssue,52,18,0,0,22,8,14,5,14,5
FinSecureProject,com.ds.app.entity,MyUserDetails,49,0,2,0,13,0,11,0,10,0
FinSecureProject,com.ds.app.entity,Employee,0,14,0,0,0,7,0,3,0,3
FinSecureProject,com.ds.app.entity,AssetAllocation,56,0,0,0,24,0,15,0,15,0
FinSecureProject,com.ds.app.entity,UserRole,0,33,0,0,0,6,0,1,0,1
FinSecureProject,com.ds.app.entity,Asset,64,51,6,0,25,21,15,15,12,15
FinSecureProject,com.ds.app.service.impl,AssetServiceImpl,245,66,2,0,60,18,9,3,8,3
FinSecureProject,com.ds.app.service.impl,AssetAllocationServiceImpl,311,12,6,0,69,5,13,1,10,1
FinSecureProject,com.ds.app.service.impl,AssetIssueServiceImpl,184,12,2,0,40,5,8,1,7,1
FinSecureProject,com.ds.app.service.impl,AssetEscalationServiceImpl,230,15,2,0,53,6,9,1,8,1
FinSecureProject,com.ds.app.service.impl,AssetReportServiceImpl,82,18,0,0,25,6,4,2,4,2
FinSecureProject,com.ds.app.service.impl,EscalatedAssetReportServiceImpl,88,12,2,0,22,5,5,1,4,1
FinSecureProject,com.ds.app.service.impl,AssetSearchReportServiceImpl,59,6,2,0,15,3,3,1,2,1
FinSecureProject,com.ds.app.service.impl,AssetUtilizationReportServiceImpl,72,6,4,0,17,3,4,1,2,1
FinSecureProject,com.ds.app.service.impl,EmployeeReportServiceImpl,67,9,0,0,23,4,3,1,3,1
FinSecureProject,com.ds.app.jwtutil,JWTUtil,87,8,4,0,22,3,10,1,8,1
FinSecureProject,com.ds.app,FinSecureProjectApplication,5,3,0,0,2,1,1,1,1,1
FinSecureProject,com.ds.app.dto,EmployeeAssetHoldingReportDTO,17,0,0,0,7,0,5,0,5,0
FinSecureProject,com.ds.app.dto,AssetDTO,21,45,0,0,7,15,7,12,7,12
FinSecureProject,com.ds.app.dto,AllocateAssetRequestDTO,17,0,0,0,5,0,5,0,5,0
FinSecureProject,com.ds.app.dto,RaiseEscalationRequestDTO,24,0,0,0,7,0,7,0,7,0
FinSecureProject,com.ds.app.dto,EscalatedAssetReportDTO,62,0,0,0,28,0,18,0,18,0
FinSecureProject,com.ds.app.dto,AssetAvailabilityReportDTO.AllocationDetail,17,0,0,0,7,0,5,0,5,0
FinSecureProject,com.ds.app.dto,AssetSearchResultDTO,59,0,0,0,25,0,17,0,17,0
FinSecureProject,com.ds.app.dto,RaiseIssueRequestDTO,24,0,0,0,7,0,7,0,7,0
FinSecureProject,com.ds.app.dto,JWTResponseDTO,18,0,0,0,7,0,1,0,1,0
FinSecureProject,com.ds.app.dto,AssetAllocationDTO,59,0,0,0,18,0,17,0,17,0
FinSecureProject,com.ds.app.dto,LoginRequestDTO,17,0,0,0,7,0,5,0,5,0
FinSecureProject,com.ds.app.dto,LoginResponseDTO,24,0,0,0,10,0,7,0,7,0
FinSecureProject,com.ds.app.dto,AssetAvailabilityReportDTO,52,0,0,0,22,0,15,0,15,0
FinSecureProject,com.ds.app.dto,AssetEscalationDTO,59,0,0,0,18,0,17,0,17,0
FinSecureProject,com.ds.app.dto,EmployeeAssetHoldingReportDTO.HeldAssetDetail,31,0,0,0,13,0,9,0,9,0
FinSecureProject,com.ds.app.dto,EscalationReportDTO,9,36,0,0,3,13,3,5,3,5
FinSecureProject,com.ds.app.dto,AssetIssueDTO,52,0,0,0,15,0,15,0,15,0
FinSecureProject,com.ds.app.dto,AssetUtilizationReportDTO,52,0,0,0,22,0,15,0,15,0
FinSecureProject,com.ds.app.enums,AllocationStatus,0,21,0,0,0,4,0,1,0,1
FinSecureProject,com.ds.app.enums,EscalationStatus,0,21,0,0,0,4,0,1,0,1
FinSecureProject,com.ds.app.enums,AssetStatus,0,27,0,0,0,5,0,1,0,1
FinSecureProject,com.ds.app.enums,IssueStatus,0,21,0,0,0,4,0,1,0,1
